## DQN_train_2048_v2.py 运行时间

Begin time: 2026/2/28 01:23

End time: 2026/2/28 19:37

/Users/hfyan/MyPythonApp/.venv/bin/python /Users/hfyan/git/2025spring-cs201/code/2048/DQN_train_2048_v2.py 
正在使用设备: mps
Ep: 18900, Max: 256, Reward: 677.0, Eps: 0.010
Ep: 19000, Max: 256, Reward: 969.0, Eps: 0.010
Ep: 19100, Max: 512, Reward: 1281.0, Eps: 0.010
Ep: 19200, Max: 128, Reward: 678.0, Eps: 0.010
Ep: 19300, Max: 256, Reward: 1009.0, Eps: 0.010
Ep: 19400, Max: 256, Reward: -998.0, Eps: 0.010
Ep: 19500, Max: 128, Reward: -76.0, Eps: 0.010
Ep: 19600, Max: 256, Reward: 888.0, Eps: 0.010
Ep: 19700, Max: 256, Reward: 896.0, Eps: 0.010
Ep: 19800, Max: 128, Reward: 567.0, Eps: 0.010
Ep: 19900, Max: 512, Reward: 902.0, Eps: 0.010
Ep: 20000, Max: 256, Reward: 633.0, Eps: 0.010
Ep: 20100, Max: 256, Reward: 884.0, Eps: 0.010
Ep: 20200, Max: 256, Reward: 792.0, Eps: 0.010
Ep: 20300, Max: 256, Reward: 893.0, Eps: 0.010
Ep: 20400, Max: 512, Reward: -506.0, Eps: 0.010
Ep: 20500, Max: 256, Reward: 964.0, Eps: 0.010
Ep: 20600, Max: 256, Reward: 942.0, Eps: 0.010
Ep: 20700, Max: 128, Reward: 598.0, Eps: 0.010
Ep: 20800, Max: 128, Reward: 648.0, Eps: 0.010
Ep: 20900, Max: 256, Reward: 843.0, Eps: 0.010
Ep: 21000, Max: 256, Reward: 757.0, Eps: 0.010
Ep: 21100, Max: 128, Reward: 494.0, Eps: 0.010
Ep: 21200, Max: 256, Reward: 765.0, Eps: 0.010
Ep: 21300, Max: 256, Reward: -2766.0, Eps: 0.010
Ep: 21400, Max: 128, Reward: 466.0, Eps: 0.010
Ep: 21500, Max: 512, Reward: 722.0, Eps: 0.010
Ep: 21600, Max: 512, Reward: 571.0, Eps: 0.010
Ep: 21700, Max: 256, Reward: 831.0, Eps: 0.010
Ep: 21800, Max: 128, Reward: -454.0, Eps: 0.010
Ep: 21900, Max: 256, Reward: 642.0, Eps: 0.010
Ep: 22000, Max: 256, Reward: -1685.0, Eps: 0.010
Ep: 22100, Max: 128, Reward: 280.0, Eps: 0.010
Ep: 22200, Max: 256, Reward: 934.0, Eps: 0.010
Ep: 22300, Max: 64, Reward: 372.0, Eps: 0.010
Ep: 22400, Max: 128, Reward: -1111.0, Eps: 0.010
Ep: 22500, Max: 128, Reward: 453.0, Eps: 0.010
Ep: 22600, Max: 256, Reward: 928.0, Eps: 0.010
Ep: 22700, Max: 512, Reward: 1239.0, Eps: 0.010
Ep: 22800, Max: 128, Reward: 503.0, Eps: 0.010
Ep: 22900, Max: 128, Reward: 45.0, Eps: 0.010
Ep: 23000, Max: 256, Reward: 791.0, Eps: 0.010
Ep: 23100, Max: 512, Reward: 1064.0, Eps: 0.010
Ep: 23200, Max: 256, Reward: 896.0, Eps: 0.010
Ep: 23300, Max: 256, Reward: -163.0, Eps: 0.010
Ep: 23400, Max: 128, Reward: -265.0, Eps: 0.010
Ep: 23500, Max: 512, Reward: 1165.0, Eps: 0.010
Ep: 23600, Max: 128, Reward: -2773.0, Eps: 0.010
Ep: 23700, Max: 128, Reward: 506.0, Eps: 0.010
Ep: 23800, Max: 256, Reward: 377.0, Eps: 0.010
